110.27,76.49,2025-05-04T22:32:18.702Z
113.6,67.03,2025-05-04T22:32:18.702Z
111.02,82.51,2025-05-04T22:32:18.702Z
108.15,64.1,2025-05-04T22:32:18.702Z
109.5,30.3,2025-05-04T22:32:18.702Z
112.53,85.36,2025-05-04T22:32:18.702Z
111.9,65.99,2025-05-04T22:32:18.702Z
118.67,75.43,2025-05-04T22:32:18.702Z
119.79,32.29,2025-05-04T22:32:18.702Z
109.81,38.74,2025-05-04T22:32:18.702Z
115.76,80.22,2025-05-04T22:32:18.702Z
109.89,40.99,2025-05-04T22:32:18.702Z
110.21,45.86,2025-05-04T22:32:18.702Z
116.27,77.73,2025-05-04T22:32:18.702Z
114.74,43.82,2025-05-04T22:32:18.702Z
108.31,37.14,2025-05-04T22:32:18.702Z
108.49,88.81,2025-05-04T22:32:18.702Z
116.76,39.16,2025-05-04T22:32:18.702Z
108.42,51.8,2025-05-04T22:32:18.702Z
119.61,68.01,2025-05-04T22:32:18.702Z
114.94,85.26,2025-05-04T22:32:18.702Z
113.6,65.34,2025-05-04T22:32:18.702Z
113.25,33.31,2025-05-04T22:32:18.702Z
116.31,84.24,2025-05-04T22:32:18.702Z
112.41,60.85,2025-05-04T22:32:18.702Z
115.31,53.24,2025-05-04T22:32:18.702Z
113.61,70.97,2025-05-04T22:32:18.702Z
115.65,49.7,2025-05-04T22:32:18.702Z
114.97,57.13,2025-05-04T22:32:18.702Z
110.34,89.01,2025-05-04T22:32:18.702Z
113.35,47.52,2025-05-04T22:32:18.702Z
108.98,65.01,2025-05-04T22:32:18.702Z
107.74,47.53,2025-05-04T22:32:18.702Z
116.05,40.11,2025-05-04T22:32:18.702Z
107.52,40.38,2025-05-04T22:32:18.702Z
117.49,42.21,2025-05-04T22:32:18.702Z
111.66,59.95,2025-05-04T22:32:18.702Z
118.2,79.96,2025-05-04T22:32:18.702Z
108.68,70.15,2025-05-04T22:32:18.702Z
112.34,58.37,2025-05-04T22:32:18.702Z
107.38,59.82,2025-05-04T22:32:18.702Z
118.33,86.27,2025-05-04T22:32:18.702Z
115.47,42.13,2025-05-04T22:32:18.702Z
112.58,60.12,2025-05-04T22:32:18.702Z
114.16,77.7,2025-05-04T22:32:18.702Z
115.68,52.25,2025-05-04T22:32:18.702Z
112.1,82.17,2025-05-04T22:32:18.702Z
110.87,55.84,2025-05-04T22:32:18.702Z
111.75,58.25,2025-05-04T22:32:18.702Z
109.51,48.83,2025-05-04T22:32:18.702Z
109.87,80.28,2025-05-04T22:32:18.702Z
110.61,86.93,2025-05-04T22:32:18.702Z
118.36,62.12,2025-05-04T22:32:18.702Z
119.57,86.17,2025-05-04T22:32:18.702Z
114.44,49.64,2025-05-04T22:32:18.702Z
112.83,83.07,2025-05-04T22:32:18.702Z
116.61,80.72,2025-05-04T22:32:18.702Z
109.2,32.73,2025-05-04T22:32:18.702Z
116.9,34.93,2025-05-04T22:32:18.702Z
109.63,72.18,2025-05-04T22:32:18.702Z
119.53,42.34,2025-05-04T22:32:18.702Z
119.01,68.06,2025-05-04T22:32:18.702Z
118.38,72.9,2025-05-04T22:32:18.702Z
108.88,45.92,2025-05-04T22:32:18.702Z
116.2,74.56,2025-05-04T22:32:18.702Z
108.11,88.49,2025-05-04T22:32:18.702Z
109.73,33.28,2025-05-04T22:32:18.702Z
113.54,61.15,2025-05-04T22:32:18.702Z
108.6,55.08,2025-05-04T22:32:18.702Z
113.15,54.83,2025-05-04T22:32:18.702Z
118.03,47.79,2025-05-04T22:32:18.702Z
114.03,79.16,2025-05-04T22:32:18.702Z
